Total rows: 523
data,produto_id,produto_nome,loja_id,loja_nome,venda_fonte,venda_qtd,venda_valor,envio_qtd_solicitada,envio_qtd_enviada,consumo_fabrica_qtd
2026-05-20,1028,BOMBOM DE MORANGO,2,Asa Sul,degust,1.00,0,0,0,0
2026-05-20,1028,BOMBOM DE MORANGO,2,Asa Sul,degust,3.00,255.00,0,0,0
2026-05-20,1028,BOMBOM DE MORANGO,2,Asa Sul,degust,25.00,450.00,0,0,0
2026-05-20,1028,BOMBOM DE MORANGO,4,Lago Sul,degust,1.00,85.00,0,0,0
2026-05-20,1028,BOMBOM DE MORANGO,4,Lago Sul,degust,13.00,234.00,0,0,0
2026-05-20,1028,BOMBOM DE MORANGO,5,Águas Claras,degust,13.00,234.00,0,0,0
2026-05-20,1028,BOMBOM DE MORANGO,5,Águas Claras,degust,1.00,85.00,0,0,0
2026-05-20,1028,BOMBOM DE MORANGO,6,Brasília Shopping,degust,1.00,85.00,0,0,0
2026-05-20,1028,BOMBOM DE MORANGO,6,Brasília Shopping,degust,23.00,414.00,0,0,0
2026-05-20,1029,BOMBOM DE UVA,2,Asa Sul,degust,1.00,0,0,0,0
2026-05-20,1029,BOMBOM DE UVA,2,Asa Sul,degust,5.00,90.00,0,0,0
2026-05-20,1029,BOMBOM DE UVA,4,Lago Sul,degust,2.00,36.00,0,0,0
2026-05-20,1029,BOMBOM DE UVA,5,Águas Claras,degust,4.00,72.00,0,0,0
2026-05-20,1029,BOMBOM DE UVA,6,Brasília Shopping,degust,8.00,144.00,0,0,0
2026-05-20,1342,DOCE NO POTE CASADINHO,5,Águas Claras,degust,1.00,39.00,0,0,0
2026-05-20,1342,DOCE NO POTE CASADINHO,6,Brasília Shopping,degust,2.00,78.00,0,0,0
2026-05-21,1028,BOMBOM DE MORANGO,1,Fábrica,,0,0,0,0,200
2026-05-21,1028,BOMBOM DE MORANGO,1,Fábrica,,0,0,0,0,200
2026-05-21,1028,BOMBOM DE MORANGO,2,Asa Sul,,0,0,5,5,0
2026-05-21,1028,BOMBOM DE MORANGO,2,Asa Sul,degust,20.00,360.00,0,0,0
2026-05-21,1028,BOMBOM DE MORANGO,2,Asa Sul,degust,3.00,255.00,0,0,0
2026-05-21,1028,BOMBOM DE MORANGO,3,Asa Norte,,0,0,2,2,0
2026-05-21,1028,BOMBOM DE MORANGO,4,Lago Sul,degust,10.00,180.00,0,0,0
2026-05-21,1028,BOMBOM DE MORANGO,4,Lago Sul,,0,0,2,2,0
2026-05-21,1028,BOMBOM DE MORANGO,5,Águas Claras,degust,1.00,85.00,0,0,0
2026-05-21,1028,BOMBOM DE MORANGO,5,Águas Claras,degust,18.00,324.00,0,0,0
2026-05-21,1028,BOMBOM DE MORANGO,6,Brasília Shopping,degust,1.00,85.00,0,0,0
2026-05-21,1028,BOMBOM DE MORANGO,6,Brasília Shopping,degust,36.00,648.00,0,0,0
2026-05-21,1028,BOMBOM DE MORANGO,6,Brasília Shopping,,0,0,2,2,0
2026-05-21,1029,BOMBOM DE UVA,2,Asa Sul,,0,0,2,2,0
2026-05-21,1029,BOMBOM DE UVA,2,Asa Sul,degust,7.00,126.00,0,0,0
2026-05-21,1029,BOMBOM DE UVA,2,Asa Sul,degust,1.00,85.00,0,0,0
2026-05-21,1029,BOMBOM DE UVA,3,Asa Norte,,0,0,1,1,0
2026-05-21,1029,BOMBOM DE UVA,5,Águas Claras,,0,0,1,1,0
2026-05-21,1029,BOMBOM DE UVA,5,Águas Claras,degust,6.00,108.00,0,0,0
2026-05-21,1029,BOMBOM DE UVA,6,Brasília Shopping,degust,12.00,216.00,0,0,0
2026-05-21,1029,BOMBOM DE UVA,6,Brasília Shopping,degust,1.00,85.00,0,0,0
2026-05-21,1342,DOCE NO POTE CASADINHO,2,Asa Sul,degust,2.00,78.00,0,0,0
2026-05-21,1342,DOCE NO POTE CASADINHO,4,Lago Sul,degust,1.00,39.00,0,0,0
2026-05-21,1342,DOCE NO POTE CASADINHO,6,Brasília Shopping,,0,0,1,1,0
2026-05-21,1342,DOCE NO POTE CASADINHO,6,Brasília Shopping,degust,3.00,117.00,0,0,0
2026-05-22,1028,BOMBOM DE MORANGO,1,Fábrica,,0,0,0,0,209
2026-05-22,1028,BOMBOM DE MORANGO,2,Asa Sul,degust,30.00,540.00,0,0,0
2026-05-22,1028,BOMBOM DE MORANGO,2,Asa Sul,degust,1.00,0,0,0,0
2026-05-22,1028,BOMBOM DE MORANGO,4,Lago Sul,degust,19.00,342.00,0,0,0
2026-05-22,1028,BOMBOM DE MORANGO,5,Águas Claras,degust,20.00,360.00,0,0,0
2026-05-22,1028,BOMBOM DE MORANGO,6,Brasília Shopping,degust,37.00,666.00,0,0,0
2026-05-22,1028,BOMBOM DE MORANGO,6,Brasília Shopping,degust,1.00,85.00,0,0,0
2026-05-22,1029,BOMBOM DE UVA,1,Fábrica,,0,0,0,0,15
2026-05-22,1029,BOMBOM DE UVA,1,Fábrica,,0,0,0,0,104
2026-05-22,1029,BOMBOM DE UVA,2,Asa Sul,degust,1.00,0,0,0,0
2026-05-22,1029,BOMBOM DE UVA,2,Asa Sul,degust,11.00,198.00,0,0,0
2026-05-22,1029,BOMBOM DE UVA,4,Lago Sul,degust,14.00,252.00,0,0,0
2026-05-22,1029,BOMBOM DE UVA,4,Lago Sul,degust,2.00,170.00,0,0,0
2026-05-22,1029,BOMBOM DE UVA,5,Águas Claras,degust,8.00,144.00,0,0,0
2026-05-22,1029,BOMBOM DE UVA,6,Brasília Shopping,degust,4.00,72.00,0,0,0
2026-05-22,1342,DOCE NO POTE CASADINHO,2,Asa Sul,degust,1.00,39.00,0,0,0
2026-05-23,1028,BOMBOM DE MORANGO,2,Asa Sul,degust,2.00,170.00,0,0,0
2026-05-23,1028,BOMBOM DE MORANGO,2,Asa Sul,degust,37.00,666.00,0,0,0
2026-05-23,1028,BOMBOM DE MORANGO,4,Lago Sul,degust,1.00,85.00,0,0,0
2026-05-23,1028,BOMBOM DE MORANGO,4,Lago Sul,degust,13.00,234.00,0,0,0
2026-05-23,1028,BOMBOM DE MORANGO,5,Águas Claras,degust,21.00,378.00,0,0,0
2026-05-23,1028,BOMBOM DE MORANGO,6,Brasília Shopping,degust,18.00,324.00,0,0,0
2026-05-23,1029,BOMBOM DE UVA,2,Asa Sul,degust,7.00,126.00,0,0,0
2026-05-23,1029,BOMBOM DE UVA,4,Lago Sul,degust,1.00,85.00,0,0,0
